Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,week
505,2023-01-20,CUST505,Male,24,Beauty,1,50,50,3
618,2023-01-26,CUST618,Female,27,Beauty,1,50,50,4
912,2023-01-24,CUST912,Male,51,Beauty,3,50,150,4
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,5
740,2023-02-05,CUST740,Female,25,Beauty,4,50,200,5
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,6
936,2023-02-07,CUST936,Male,57,Beauty,4,50,200,6
584,2023-02-17,CUST584,Female,27,Beauty,4,50,200,7
473,2023-02-25,CUST473,Male,64,Beauty,1,50,50,8
433,2023-02-27,CUST433,Male,29,Beauty,4,50,200,9
785,2023-03-03,CUST785,Female,31,Beauty,4,50,200,9
910,2023-03-06,CUST910,Female,20,Beauty,3,50,150,10
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,12
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,12
328,2023-03-22,CUST328,Male,39,Beauty,2,50,100,12
